T_s,Sa_EW_g,Sv_EW_cm_s,Sd_EW_cm,Sa_NS_g,Sv_NS_cm_s,Sd_NS_cm,Sa_VER_g,Sv_VER_cm_s,Sd_VER_cm,Sa_RotD50_approx_g,PSA_EW_g,PSA_NS_g,PSA_geo_mean_g
0.8900,3.37220517e-01,6.73285015e+00,6.73285015e+00,3.63654153e-01,7.26061671e+00,7.26061671e+00,6.10465296e-02,1.21883787e+00,1.21883787e+00,3.50188009e-01,3.42065807e-01,3.68879250e-01,3.55219620e-01
0.9000,3.35137114e-01,6.84356833e+00,6.84356833e+00,3.59474333e-01,7.34053932e+00,7.34053932e+00,5.73084327e-02,1.17024990e+00,1.17024990e+00,3.47092481e-01,3.40007360e-01,3.64698250e-01,3.52136464e-01
0.9100,3.30102448e-01,6.89249920e+00,6.89249920e+00,3.48266863e-01,7.27176998e+00,7.27176998e+00,5.40423840e-02,1.12839844e+00,1.12839844e+00,3.39063039e-01,3.34953615e-01,3.53384973e-01,3.44045889e-01
0.9200,3.27190168e-01,6.98379103e+00,6.98379103e+00,3.32055024e-01,7.08763013e+00,7.08763013e+00,5.23527282e-02,1.11745569e+00,1.11745569e+00,3.29613621e-01,3.32052161e-01,3.36989307e-01,3.34511625e-01
0.9300,3.34278243e-01,7.29221553e+00,7.29221553e+00,3.11919289e-01,6.80445926e+00,6.80445926e+00,5.06540166e-02,1.10500762e+00,1.10500762e+00,3.22905298e-01,3.39300366e-01,3.16605497e-01,3.27756558e-01
0.9400,3.38108050e-01,7.53645085e+00,7.53645085e+00,3.08643140e-01,6.87967606e+00,6.87967606e+00,4.89027899e-02,1.09004643e+00,1.09004643e+00,3.23039828e-01,3.43243162e-01,3.13330745e-01,3.27946086e-01
0.9500,3.36174518e-01,7.65487018e+00,7.65487018e+00,3.07769051e-01,7.00806280e+00,7.00806280e+00,4.69469487e-02,1.06900666e+00,1.06900666e+00,3.21658378e-01,3.41335414e-01,3.12493871e-01,3.26596425e-01
0.9600,3.25784256e-01,7.57649908e+00,7.57649908e+00,3.13975693e-01,7.30187694e+00,7.30187694e+00,4.64637359e-02,1.08056926e+00,1.08056926e+00,3.19825480e-01,3.30839105e-01,3.18847321e-01,3.24787873e-01
0.9700,3.06746162e-01,7.28431671e+00,7.28431671e+00,3.14124770e-01,7.45953690e+00,7.45953690e+00,4.59079130e-02,1.09017755e+00,1.09017755e+00,3.10413543e-01,3.11555972e-01,3.19050278e-01,3.15280858e-01
0.9800,2.81924970e-01,6.83474188e+00,6.83474188e+00,3.09554132e-01,7.50455907e+00,7.50455907e+00,4.48429410e-02,1.08713296e+00,1.08713296e+00,2.95416721e-01,2.86391877e-01,3.14458804e-01,3.00097396e-01
0.9900,2.55438121e-01,6.32066459e+00,6.32066459e+00,3.01506027e-01,7.46058756e+00,7.46058756e+00,4.33998942e-02,1.07390460e+00,1.07390460e+00,2.77517807e-01,2.59527322e-01,3.06332709e-01,2.81960472e-01
1.0000,2.32988067e-01,5.88315858e+00,5.88315858e+00,2.91190570e-01,7.35282420e+00,7.35282420e+00,4.18054215e-02,1.05562455e+00,1.05562455e+00,2.60468670e-01,2.36756158e-01,2.95899964e-01,2.64681202e-01
1.0100,2.19089684e-01,5.64432219e+00,5.64432219e+00,2.79510626e-01,7.20092338e+00,7.20092338e+00,4.02735704e-02,1.03755231e+00,1.03755231e+00,2.47462916e-01,2.22669010e-01,2.84077065e-01,2.51505783e-01
1.0200,2.04920398e-01,5.38521330e+00,5.38521330e+00,2.66831969e-01,7.01222077e+00,7.01222077e+00,3.89901813e-02,1.02464394e+00,1.02464394e+00,2.33836082e-01,2.08301931e-01,2.71235148e-01,2.37694773e-01
1.0300,1.90129929e-01,5.09580237e+00,5.09580237e+00,2.58331563e-01,6.92372106e+00,6.92372106e+00,3.83709715e-02,1.02840667e+00,1.02840667e+00,2.21622566e-01,1.93298666e-01,2.62636960e-01,2.25316164e-01
1.0400,1.74819305e-01,4.77764622e+00,4.77764622e+00,2.48901177e-01,6.80223369e+00,6.80223369e+00,3.80881614e-02,1.04091342e+00,1.04091342e+00,2.08597053e-01,1.77761636e-01,2.53090357e-01,2.12107887e-01
1.0500,1.60047686e-01,4.45919234e+00,4.45919234e+00,2.45566983e-01,6.84190093e+00,6.84190093e+00,3.80033020e-02,1.05883464e+00,1.05883464e+00,1.98248398e-01,1.62767741e-01,2.49740463e-01,2.01617685e-01
1.0600,1.47914759e-01,4.20070081e+00,4.20070081e+00,2.41340806e-01,6.85395105e+00,6.85395105e+00,3.80453832e-02,1.08046873e+00,1.08046873e+00,1.88938792e-01,1.50452964e-01,2.45482195e-01,1.92180967e-01
